,titles,companies,locations,category,emp_type,seniority,salaries,responsibilities,requirements
393,Company Undisclosed,Financial Engineer,,Full Time,Professional,"Banking and Finance, Information Technology","$5,000to$8,000","Roles & ResponsibilitiesFinancial Engineer will Work with the team on various key projects ranging from structuring, valuation, quantitative advisory services, counterparty risk, market risk, ESG, etc. Primary Responsibilities:  Structure real-world examples of trades and perform valuation and/or risk analytics tasks using Numerix CrossAsset library and other Numerix Products and tools. Work with the team on various key projects ranging from structuring, valuation, quantitative advisory services, counterparty risk, market risk, ESG, etc.. Write Requirements Definition (RD) and Product Specifications for Analytics and Risk across multiple asset classes such as IR/CC/INF/CR/EQ/FX/CMDT/HYBRID. Work as liaison between Customers and Internal Numerix teams (Sales, Business Analyst, PDM, Quantitative Research, Quantitative Development, Implementation, Support, Training, Documentation, QA…). Design and perform FE testing on models (calibration and pricing) and risks across multiple asset classes on various Numerix Products. Provide consulting and professional services for clients using Numerix products for integrated/independent pricing and risk analytics system. ","Requirements 2-5 years of working experience as a financial engineer, desk quant, strategist, structure or model validation quant in major banks, hedge funds, insurance, asset management, consulting firms or analytics firms. MSc or PhD (preferred) in Mathematics, Financial Engineering, Finance, Econometrics, Statistics, Computer Science, Physics, Actuarial Science or related field. Professional certifications a plus. Good knowledge and/or hands-on working experiences in derivative pricing models and instruments across interest rate, cross-currency, credit, inflation, equity, foreign exchange, commodity, insurance, and hybrid products. Good knowledge and/or hands-on working experiences in counterparty credit risk (such as AMC, CVA, DVA, BCVA, FVA, PFE, EPE, EEPE, incremental CVA, collateral, netting, CSA, CVA VaR, PD, EAD, credit models, Basel III, Economic Capital, CCAR …) and/or market risk (such as VaR methodologies (parametric, historical, and Monte Carlo), incremental VaR, marginal VaR, stressed VaR, backtesting, Basel II, scenario generation, PCA, Volatility forecasting…). Strong Derivatives pricing knowledge. Cross-asset or Economic Scenario Generation (real world and risk neutral) experience is a plus. Strong mathematical skills including stochastic calculus, numerical methods (Tree, PDE), Monte Carlo simulation, probability and statistics, linear algebra, time series analysis, or actuarial analysis; and financial modeling, or quantitative/engineering related research. Good hands-on experience with Excel and VBA, C++, C#, Java programming languages. Self-motivated and quick-learning professional able to address complex technical challenges, and produce high quality solutions in an efficient and timely manner. "
394,AIR LIQUIDE INDUSTRIAL SERVICES PTE LTD,Business Intelligence Support,"JEM, 52 JURONG GATEWAY ROAD 608550",Full Time,"Professional, Senior Executive",Information Technology,"$5,000to$7,000","Roles & Responsibilities Contribute to business requirement review for technical implementation as a subject matter expert for IT to ensure standards are met Translate user requirements into functional and technical solutions for technical design team and developers Conduct review of technical and functional solutions from enhancement/project team to ensure they conform to IT standards Respond to and resolve issues by finding the root cause of the problem Respond on time to the queries raised by various business units Provide timely updates regarding production status and progress of issue resolution Perform impact analysis of enhancements/projects that will impact supported systems Responsible to provide BAU support for BI platforms such as Hyperion Responsible to provide operational support and ensure system availability. Responsible for development, administration and troubleshooting on BI platform and systems Fine tune applications and systems for high performance and higher volume throughput ","Requirements Preferably 5 years of relevant experience in IT Finance Experience in Oracle is required Familiar with programming paradigms such as distributed architectures and multi-threaded program design Solid understanding of BigData, Datawarehousing, DataLake, Teradata, Oracle or other relational databases required Has working knowledge in Unix/Unix scripting Knowledge of .NET, Python, Scala, and Java programming and development experience a plus Experience with MQ technologies (TIBCO EMS, Kafka, RabbitMQ) is a plus. Incident, problem and service outage management Data Source Configuration and Maintenance Experience with additional Business Intelligence tools a plus Experience in developing dashboards and reports required Strong system and application administration knowledge required Experience building data visualization to user specification Server Performance, capacity, utilization monitoring and Health monitoring Strong analytical and statistical knowledge preferred  "
395,UPS ASIA GROUP PTE. LTD.,APAC Lead Data Scientist,"UPS HOUSE, 22 CHANGI SOUTH AVENUE 2 486064",Permanent,Middle Management,Logistics / Supply Chain,"$7,482to$9,975","Roles & ResponsibilitiesSummary The APAC Lead Data Scientist provides leadership in implementation of advanced analytics models and solutions to yield predictive and prescriptive insights from large volumes of structured and unstructured data.    He/ She programs, develops, tests, estimates/runs, and validates models to ensure they are predictive and prescriptive and follow best practices. The Lead Data Scientist leads junior team members involved in advanced analytics activities and tasks. He/ She guides and influences department and project teams and facilitates collaboration with stakeholders. He/ She has experience applying models to large scale problems and advanced knowledge and experience with tuning a number of machine learning models. Responsibilities  Engages and collaborates with business leaders across the organization to help assess business needs and define research questions. Develops hypotheses, approaches (i.e., analytic plans and model development process), models, and solutions to solve problems and increases profitability. Provides appropriate direction for selection and implementation of model development processes to answer business problems. Provides overall direction for model KPI expectations, validation, test and re-train of existing models to meet business objectives. Manages the execution of advanced analytics projects based on statistics, machine learning, experimental design and the scientific method principles to derive insights. Evaluates synthesized insights and findings of model results in reports and presentations to prescribe action. Presents to management analytic findings and recommendations for defining problems, proposing business cases and strategies, and gaining support. Implements repeatable solutions through written project documentation, process flowcharts, logs, and commented code to produce datasets that can be used in analytics and/or predictive modeling. Reviews properties of models to correct for over-fitting, lack of convergence, incomplete separation, multicollinearity, heteroscedasticity, etc. Writes code to collect and manipulate data from multiple data sources. Develops strategy to monitor model and system performance/integrity. Supports the analysis and integration of tools and methods to provide desired results from models and requirements. Identifies opportunities and leads the effort to move from predictive to prescriptive analytics to more quickly turn data into results that support evidence-based decisions. Provides consultation to functional partners to support the design of planning systems. Manages team member activities to ensure tasks are completed within established deadlines and to rectify issues and roadblocks. Leads technical documentation in compliance with UPS Software Development Lifecycle to communicate and update project teams and stakeholders. Manages resources and people processes including performance management and career development. ","RequirementsSkills and Qualifications  Has an expert level of knowledge in statistical methodology, analyses and tests (e.g. multivariate analysis of variance, factor analysis, multiple and non-linear regression, cluster analysis, structural equation modeling, partial least squares analysis, etc.);  selects most appropriate methodology to use; guides, coaches and teaches others in running appropriate statistical analyses; develops tools using statistical analyses. Strong people management and development skills. Strong communication skills in both oral and written and ability to interact with senior executive management Strong project management skills, Project Management Office (PMO) or similar training or certification. Education or experience in disciplines associated with data science including advanced analytical techniques, data architecture, machine learning and associated mathematics and statistical capabilities. "
396,MALTEM ASIA PTE. LTD.,Cognos Project Manager,"THE ARCADE, 11 COLLYER QUAY 049317","Permanent, Full Time",Executive,Information Technology,"$3,500to$5,000","Roles & ResponsibilitiesResponsibilities •           Manage and translate business requirements into strategic technical solutions, •           Design and develop new BI applications, such as debugging, adding new querying tools, platform/data, •           Integrate data from various sources to identify and resolve inconsistencies between IT systems, •           Provide visibility of Cognos Business Intelligence, including design, development, implementation and maintenance of data and reporting tools, •           Coordinate project management activities, resources, equipment and information","RequirementsSkills & Qualifications (Must have) •           Deep knowledge of Cognos data management and process design, •           Good understanding and experience in Project Management, •           Proven experience in budgeting and forecasting, •           Proven experience in designing and managing a complex project roadmap   (Good to have) •           IBM Cognos certifications will be a plus, •           Strong communication and interpersonal skills, both at business level and technical level (e.g. architects, developers), •           Strong multi-tasking and organizational skills, •           Strong problem-solving and planning abilities, high improvement focus, and ability to work in a fast-paced environment, •           Good strategic thinking in identifying solutions and selecting the best combination of practices, •           Experience of delivering complex programs and managing multicultural and distributed teams within global organizations with many stakeholders, •           Experience with Scrum or other Agile methodologies, •           Experience in Logistics sector"
397,KRIS INFOTECH PTE. LTD.,Business Analyst  (Wealth Management),"ROYAL ONE PHILLIP, 1 PHILLIP STREET 048692",Contract,Non-executive,Information Technology,"$5,000to$6,500","Roles & Responsibilities Work with Business users for requirements analysis and internal IT stakeholders & external vendors to provide end to end expert solutions. Performs root cause analysis, regression testing and outlines corrective action for given problems. Drive and manage the key stakeholders in driving the end-to-end functional requirements. Participates in project implementations and BAU enhancements. Collaborates and adds value through participation in peer code reviews, providing comments and suggestions Support UAT in assisting the UAT users. Work with Project manager for scope creep. ","Requirements- 3-4 years of experience as a Business Analyst. - Excellent risk management, must be able to timely alert and escalate. - Experience in Wealth Management domain"
398,AFFABLE TECHNOLOGIES PTE. LTD.,Data Engineer,79 AYER RAJAH CRESCENT 139955,Full Time,Professional,Information Technology,"$4,000to$7,000","Roles & ResponsibilitiesAffable is a venture-backed startup in Singapore, building a platform for brands to discover, engage and measure social media influencers. We are developing Artificial Intelligence algorithms that profiles influencers and their audience across platforms like Instagram, youtube, twitter, facebook etc. The next wave of digital marketing is through social media influencer and Affable is solving the challenges using advanced machine learning and computer vision. We are hiring a data engineer to join our team of passionate and exceptional engineers. Your role will be to assist in the development of our data-pipelines & scale our backend. We are dealing with billions of data-points including images, videos & text, and relationships between them. As the lead data engineer, you will be setting up the foundation of our data strategy and taking the captain seat for everything data. Among other things, you will: 1. Lead our data engineering practice  2. Scale our data pipelines to handle billions of data points and relationships between them  3. Develop end to end machine learning models Since we are early stage, you will play an important role in the development of Affable. You will be working directly with the founders in a very fast-paced environment, constantly learning and being a part of a rapidly growing startup.","RequirementsData Mining Big Data Data Warehousing Data Scraping using technologies like Hadoop, Spark, Hive etc"
399,GOOGLE ASIA PACIFIC PTE. LTD.,"Finance Analyst, Play - Singapore","MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981",Full Time,Executive,"Accounting / Auditing / Taxation, Banking and Finance","$8,750to$14,583","Roles & ResponsibilitiesCompany overview: Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards. Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit www.google.com/careers. The area: Finance The name Google came from """"googol,"""" a mathematical term for the number 1 followed by 100 zeros. And nobody at Google loves big numbers like the Finance team when providing in depth analysis on all manner of strategic decisions across Google products. From developing forward-thinking analysis to generating management reports to scaling our automated financial processes, the Finance organization is an important partner and advisor to the business. The role: Finance Analyst, Play - Singapore Financial Analysts ensure that Google makes sound financial decisions. Our team of Financial Analysts foster the financial health of our organization by partnering closely with our various functions, tracking performance metrics and creating financial models. Our Financial Analysts are up to date with the latest economic trends and apply knowledge around rates of return, depreciations, working capital requirements and investment performance to the projects at hand. As a Financial Analyst, you are called upon to build complex scenarios analyses that serve as the basis for recommendations that leaders of the business draw from to make critical strategic decisions. A master juggler working on multiple projects at a time, you maintain a consistently high level of attention to detail while finding creative ways to tackle financial challenges. As someone who knows the workings of the core Finance team inside and out, you'll lead individual projects to transform planning, tracking and control processes. You'll provide senior level management with insightful recommendations, planning and reporting support. Finance partner for Play business leadership in APAC. As a Finance Analyst, you'll develop an in-depth understanding of the Play business and its underlying drivers, enabling you to help drive strategic planning and resource trade-off decisions, as well as identify challenges that need further analysis or attention. You will collaborate across Finance, both in-region and globally, to guide the regional finance agenda and drive key projects. You will drive regular insights on key business trends, help develop revenue and profitability forecasts, review and model deals and engage in special projects to help further the optimize our organization. Responsibilities:  Influence decision making through clear analytical insights and recommendations into drivers of revenue, profitability optimization, user acquisition, market trends, risks, and efficient use of resources. Engage in ad-hoc analyses to understand business performance/user metrics, KPI’s and provide concise summaries and recommendations to management. Build appropriate reporting tools/dashboards if needed that enable decision making across the business and financial stakeholders. Manage and drive efficiency in core finance processes such as financial planning, forecasting, reporting, business reviews, and business planning. Articulate risks to Product and Finance management teams and propose solutions and secure management buy-in to resolve process, systems and people gaps; escalate as necessary. ","RequirementsMinimum qualifications:  6 years of experience working in finance at a technology company, management consulting, investment banking, corporate strategy or similar environment. Experience influencing effectively with business partners.  Preferred qualifications:  MBA or another relevant Master’s degree. Experience in financial planning, budgeting and forecasting, within the software, internet, or media industries. Knowledge of SQL, analytical tools/systems statistics and data visualization software, and spreadsheets. Experience in identifying opportunities for business improvement and defining/measuring the success of those initiatives. Organized, strategically focused, detail oriented, self-starter and able to deal with ambiguity in a constantly evolving environment. Demonstrated ability to manage and influence complex cross-functional operational initiatives with project management experience and the ability to handle multiple time-sensitive projects. "
400,ERNST & YOUNG ADVISORY PTE. LTD.,"Manager, Big Data IM, Advisory",1 RAFFLES QUAY 048583,"Permanent, Full Time",Manager,Consulting ,"$6,000to$12,000","Roles & ResponsibilitiesEY Data and Analytics is the data and advanced analytics capability within EY Asia-Pacific.  We have vibrant practices in Australia, New Zealand, Singapore, Hong Kong, Korea, The Philippines and Malaysia. EY Data and Analytics creates intelligent client organizations using data & advanced analytics.  We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects, project managers, business analysts, data scientist, big data engineers, developers and consultants in the region.     Due to our continued growth we are looking for a talented, inquisitive and proactive Big Data IM join our team.","RequirementsREQUIREMENTS:   Bachelor degree and above in Analytics, Information Systems Management, Computer Science or related fields. Hands on experience in implementing data integration processes, designing and developing data models(ER/Dimensional/Vault), designing, developing and building in detail ETL/ELT processes or programs. Contributed in at least 2 phases of SDLC lifecycle and experience in Big Data, data warehouse, data analytics projects, data migration, change management process, and/or any IM (Information Management) related works. Experience with Hadoop Technologies such as HDFS/MapRFS, Map Reduce(II), Advanced HDFS ACLS, Hive, HBase, Cassandra, Impala, Spark, Drill, Sentry, Sqoop, Flume, Kafka, Storm, Zookeeper and zkClient tool Good understanding on Cloudera or Horton Works or MapR Hadoop Distribution with deep understanding of administration concepts Experience in working with RDBMS technologies such as, Oracle, Microsoft SQL Server, PostgreSQL, DB2, MySQL etc. Experience in MPP database technologies such as Teradata Hands-on experience on Spark, SparkSQL, Hive QL, Drill QL, Impala, Spark Data Frames and Flink CEP, Flink TableAPI&SQL as ETL framework Hands-on programming skill on Scala/Python using Spark/Flink Framework Strong knowledge of Big Data stream ingestion and IoT streaming using Flume, or Kafka, Storm, MQTT, RabbitMQ Good understanding Spark Memory management with and without Yarn memory management Should have basic understanding on Cloudera Manager or HortonWorks Ambari and MapR Control System Should have experience developing and designing in one or more NoSQL database components and objects using Cassandra, Mongo, HBase, CouchDB/Couchbase, Elasticsearch Should have experience developing and designing in one or more NoSQL database technologies such as Cassandra, Mongo, HBase, CouchDB/Couchbase, Elasticsearch etc. Should good working knowledge of HCatalog and Hive Metadata. Should have working knowledge of Kerberos authentication tool Experience in commercial ETL tools like Talend, Informatica or Alteryx will be added advantage Greenplum, IBM Pure Data etc. will be an added advantage Experience in working with RDBMS technologies such as, Oracle, Microsoft SQL Server, PostgreSQL, DB2, MySQL etc. Experience in MPP database technologies such as Teradata, Greenplum, IBM Pure Data etc. will be an added advantage Good knowledge of data warehouse and data management implementation methodology. Good knowledge of the Information Management framework, including operating model, data governance, data management, data security, data quality and data architecture. Knowledge and experience in  data visualisation concepts using tools such as SAS Visual Analytics or WRS, Tableau, Microsoft PowerBI or Reporting Services, IBM Cognos, SAP Business Objects, etc. will be an advantage. Ability to pick up new tools and able to be independent with minimal guidance from the project leads/managers. Strong analytical and creative problem solving capabilities. Ability to establish personal credibility quickly and demonstrate expertise. Ability to create a positive learning culture, coach and develop team members.    ADDITIONAL REQUIREMENTS:   6 to 15 years of experience in data warehouse, data analytics projects, change management process, and/or any IM (Information Management) related works. Delivered at least two (2) full SDLC lifecycle projects. At least one of the industry or domain experiences in Banking/ Telecommunications/ Consulting Preferably with experience in implementation best practices involving data management, data reconciliation, data duping, scheduling, etc. Able to assess design considerations in the aspect of data management and integration Experience with Agile/SCRUM/Kanban software implementation methodology Should have good knowledge in DevOps engineering using Continuous Integration/Delivery tools such as Docker, Jenkins, Puppet, Chef, GitHub Atlassian Jira etc. Certification in any of Hadoop Big Data tool/technology, data integration, data management, or visualisation tools is an added advantage. Knowledge about the infrastructure paradigms such as OS, network etc. is an added advantage.    ABOUT US The EY Data and Analytics team are specialists in information management, advanced analytics and business intelligence. We implement the information-driven strategies and systems that offer the highest return on investment, profitability, and service or policy outcomes for our clients. Our consultants work to create a lasting organisational culture that encourages people to use information and technology more creatively and more intelligently to get better business results.     WHY US We work with some of the world’s most influential businesses on many of their most exciting Bigdata and IoT projects. Our sheer scale, scope and reach will provide you with the experiences, challenges and contacts that can inspire you for life Our culture means you can succeed whatever your background, work to your natural strengths, and learn from a remarkably diverse and talented group of people in a dynamic and collaborative global business environment       WHAT WORKING AT EY OFFERS EY offers a competitive remuneration package commensurate with your work experience where you’ll be rewarded for your individual and team performance. We are committed to being an inclusive employer and are happy to consider flexible working arrangements, where this may be needed, guided by our FWA Policy. Plus, we offer: Support, coaching and feedback from some of the most engaging colleagues around Opportunities to develop new skills and progress your career The freedom and flexibility to handle your role in a way that’s right for you     ABOUT EY  As a global leader in assurance, tax, transaction and advisory services, we’re using the finance products, expertise and systems we’ve developed to build a better working world. That starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we’ll make our ambition to be the best employer by 2020 a reality.   If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible.  Join us in building a better working world.  Apply now"
401,SCIENTE INTERNATIONAL PTE. LTD.,Finance Analyst (JD#4225),"THE SIGNATURE, 51 CHANGI BUSINESS PARK CENTRAL 2 486066","Contract, Full Time",Senior Executive,"Accounting / Auditing / Taxation, Banking and Finance","$5,000to$8,000",Roles & ResponsibilitiesOur client is looking for an experienced Finance Analyst to support the Group Financial Control & Assurance team.,"RequirementsMandatory Skill-set  Degree in Finance or Accountancy; At least 5 years of experience in Finance or Accounting; Good understanding of General Ledger Account Ownership (GLAO), Manual Journal Entries (MJE) standards, Quality Assurance Reviews (QAR); Proficient in Microsoft Office Applications and Hyperion tools Posses good financial control mindset and balance sheet substantiation; Able to distill and frame issues clearly to internal stakeholders; Proactive, motivated and independent; Excellent communication, presentation, and able to work across different departments and locations.  Desired Skill-set  Experience in Banking;  Responsibilities  Review and ensure that controls and processes adhere to the Standards, Processes and Procedures; Ensure that operating standards and requirements of Quality Assurance Review are met; Develop framework for regulatory reporting; Provide support on financial control policies, standards and processes; Understand regulatory developments and its implications for the Finance department; Strengthen the financial control environment by improving and standardizing processes and policies across all business units; Assist in financial control related initiatives; Provide overall support to Internal Audit; Promote and drive financial control mindset and awareness across the Group; Prepare online learning material for related topics.  Should you be interested in this opportunity, please send your updated resume to apply@sciente.com at the earliest. Confidentiality is assured, and only shortlisted candidates will be notified. EA Licence No. 07C5639"
402,A*STAR RESEARCH ENTITIES,ICES-Scientist (Metabolic Engineering Research Lab) [FY18010],"UOB PLAZA, 80 RAFFLES PLACE 048624","Contract, Full Time",Non-executive,Sciences / Laboratory / R&D,"$4,500to$9,000",Roles & Responsibilities Develop and apply systems and synthetic biology approaches to design new biosynthetic pathways and recombinant microorganisms required for cost-effective production of a number of high-value chemicals Develop assays for screening genetic libraries Participate in the development of project strategy and communicates results within a multidisciplinary team Supervise and mentor the work of research engineers ,"Requirements PhD in chemical engineering, bioengineering, biochemistry, chemistry, or related disciplines, with outstanding record of research publications Expertise in synthetic biology, metabolic engineering and/or microbial fermentation Ability to work in a multi-disciplinary team Possess critical thinking skills and strong attention to detail Ability to prioritize responsibilities and multi-task Excellent communication, documentation and organization skills Post-doctoral and/or industrial experience would be an advantage  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
403,ALLEGIS GLOBAL SOLUTIONS (SINGAPORE) PTE. LTD.,Business Analyst,,Contract,Professional,Information Technology,"$7,000to$11,500","Roles & ResponsibilitiesAllegis Global Solutions is the exclusive Contingent HR services provider for one of the world’s leading banks. At Allegis Global Solutions we’re proud to be the leader in global talent solutions. We draw upon decades of industry expertise to develop innovative tools, products, processes and strategies focused on outcome. Moreover, we’re incredibly proud to have built a culture that empowers our people to make their mark while making deep connections that will last a lifetime. With our passion and culture for talent, we are truly transforming the way the World acquires talent. Our Client is one of the world's most international banks with over 1,100 branches, offices and outlets in 67 countries. They operate in some of the world's most dynamic markets and have been for over 150 years. More than 90 per cent of their income and profits are derived from Asia, Africa and the Middle East. Their brand promise, Here for good, underlines their distinctive approach.","RequirementsAs a Business Analyst  within Financial Markets Regulatory programme, you will be involved in critical regulatory projects, working in a dynamic global team with software engineers, other project managers, business stakeholders, Operational partners and other technical experts globally. KEY RESPONSIBILITIES  Perform in-depth analysis around key requirements of the project and regulatory changes (Trade Reporting Regulatory projects). Working with technology teams to design the reconciliation solution and process, implement the reconciliation tool into the Bank’s architecture. Defining and establishing the necessary source TP feeds into the reconciliation tool. Defining and establishing the necessary source Trade Repository feeds into the reconciliation tool Operationalizing the analysis and categorization of breaks (second half of year) Articulate the Scope / requirements in standard documents/process flow diagrams/use case diagrams etc to secure signoff from stakeholders. Participation in industry forums / calls and interpretation of new regulations or changes to existing regulations. Conduct meetings and relevant discussions to engage stakeholders in the right perspective and take the task to closure. Manage relationships with key stakeholders both internal (Legal, Compliance, other tech teams, Transaction Reporting teams) and external (DTCC, Industry calls, Regulators etc). Identify risks & issues and communicate them to the relevant people in a timely manner – assist with proposing & planning mitigating steps. Determine Strategic Solutions / Proposals – focusing on long term efficiency, risk reduction and regulatory compliance Maintain a culture of risk awareness and proactive resolution. Facilitates Business process improvement via the methodical investigation, analysis, review and documentation of functional business specifications Co-ordinate and manage the delivery of the project across FMO, IT and relevant FO teams Provide solutions as well as produce a clear cut functional specifications for development team. Use appropriate tools like JIRA, WIKI etc to ensure that Functional Specifications are split and managed with development team in terms of clarity and implementation. Pro-actively engage, manage & build relationships with both technology (including vendors) & business stakeholders. Assist the PM with planning of BA tasks. Support the test team & business users during the testing phase by making design calls & assisting in issue analysis & resolution Support the transition to the production support team.  KNOWLEDGE, SKILLS AND EXPERIENCE  Good  experience of managing change – both project leadership and business analysis skills Experience of OTC products & trade lifecycle aligned to industry best practice Ability to document functional solution designs of high quality with no ambiguity. Articulate requirements clearly by using graphic and workflow tools like Visio, wireframe tools etc. Ability to work proactively & independently and display initiative Pragmatic team player with an attention to detail Excellent communication and organizational skills with ability to work effectively cross department and geography Proactive and driven individual – independent thinker able to influence and motivate others. Confidence to challenge the status quo & provide alternative solutions Strong problem solving and analytical skills Multicultural awareness Experience of Dodd Frank and/or EMIR regulations is desirable Experience of agile analysis & development "
404,ZALORA SOUTH EAST ASIA PTE. LTD.,Data Engineer,"KEPPEL TOWERS, 10 HOE CHIANG ROAD 089315",Full Time,Professional,Engineering,"$4,500to$6,000","Roles & ResponsibilitiesWe are looking for a Big Data Engineer happy to design, build, maintain and automate big data environments (datalake, etc…) and the associated data to enable the teams to make use of the high volume of data available from our e-commerce activities. You should be proficient in: - Technical background:  Linux Big Data technologies (Redshift, BigQuery, Spark, Glue, Parquet…) Industrialization (Ansible..), Orchestration (Kubernetes…), containers in cloud (Docker, AWS…) Strong experience in resilient architecture (high availability, scalability) Data management: you have experience in integrating and managing large volumes of Data while taking into account performance issues Coding skills: skills in one or more scripting languages (Perl, Ruby…) as well as one or more development languages (Python, Java…)  Soft skills: while being a tech automation enthusiast with a passion for building tools to make developers' lives easier, you also want and know how to share your expertise with other people to empower them. Agile and DevOps approach, with an operational experience as an Ops in a demanding environment. You know what it’s like to manage in production critical systems and you have experience in sharing this knowledge to the teams to enable a “you build it / you run it” mindset.","Requirements BS in Computer Science or related technical discipline or equivalent practical experience 3-4+ years of experience with high-traffic, high volume, high scalable distributed systems and client-server architectures (clustering, partitioning, sharding, etc) Some experience working with Data Scientists and finding solutions for them to work efficiently while manipulating high volume of data and be able to work with them and the teams to bring their algorithms at scale Strong operational experience with AWS, container approaches. "
405,DATASPARK PTE. LTD.,Data Engineer,"COMCENTRE, 31 EXETER ROAD 239732",Permanent,"Executive, Senior Executive",Information Technology,"$3,500to$6,000","Roles & ResponsibilitiesResponsibilities  design and implement scalable and robust software platform for ingesting and transforming telco network datasets in (near) real-time using a variety of open-source and proprietary Big Data technologies recommend and implement ways to improve data reliability, efficiency and quality collaborate with product management, sales and marketing, and solution delivery teams to support the objectives that customer requirements are well managed and reflected in product releases support the deployment of DataSpark software within clients' IT environment working closely with stakeholders to ensure high standards of data governance during implementation serve as technical subject matter expert in latest big data technologies ","RequirementsRequirements  7+ years of superior software development experience building commercial large-scale software systems and database systems Excellence in algorithms, data structure, discrete math, data base and data warehousing Expert knowledge in data management technologies and software engineering tools to efficiently process large volume of data Demonstrated clear and thorough logical and analytical thinking, as well as problem solving skills Experience of data warehouses in excess of 10TB Experience of Web UI, middle tier, and data back end development Production coding experience in choice of programming languages and development frameworks Proven professional experience in processing large-scale commercial data. Experience with telco data a plus. Superior and proactive communications skills, including verbal, written, and presentation. A proven team player and contributor. Self-directed, ability to work independently and research innovative solutions to business problems Aptitude of working on multiple projects in parallel Attention to details and data accuracy MS or BS degree in Computer Science/Engineering, Statistics, Mathematics, or equivalent is required for this position. "
406,TOOKITAKI HOLDING PTE. LTD.,DevOps Engineer,"HIGH STREET CENTRE, 1 NORTH BRIDGE ROAD 179094",Full Time,Professional,Engineering,"$4,000to$7,000","Roles & ResponsibilitiesAbout Tookitaki We are a machine learning powered advanced forecasting platform, focussed on compliance and operational risk management space. Our primary clients are banks, financial institutions and insurance companies. We are bringing a paradigm shift in the approach of risk forecasting, by helping BFSI sector move from static rules engine to dynamically adaptive platform. The key highlights are - ability to choose from multiple non-linear models, improve model performance over time through self-learning technique and deploy models in production faster via pre-packaged distributed environment. Engineering @ Tookitaki The engineering team is responsible for building a robust forecasting platform, which can add significant value to BFSI vertical in solving operational and compliance risk problems. We take pride in building the system right and continuously evolving it. You have freedom to choose the right tools for the task. We also encourage to participate in and contribute to open source community. Our ideal candidate Our engineering team is looking for a DevOps Engineer, who has 3-6 years of work experience in similar field and possess good communication skill. He would be responsible for -   Understand and master the internal architecture of our product.   Building a solid understanding of customer’s existing IT architecture.   Proposing an integration plan to integrate our product with their architecture.   Help our clients set up the required product infrastructure with dependencies.   Work with product development team to acquire required troubleshooting skills.   Help our clients streamline the process to monitoring and maintenance.   To be the GO TO person for anything related to client specific engineering.   Desired technical requirements   Prior work experience in Dev-Ops field is required.   Experience working on linux environment with bash and python scripting.   Experience with installing, configuring and managing the big data architecture (Hadoop, Spark, Hive, HBase etc) and understanding of how these components work together.   Working experience on running and maintaining docker based environment.   Experience with managing and maintaining multiple databases - MySQL, Postgres.   Experience working with any in-memory key value store - Redis, Memcache.   Experience setting up and maintaining different web servers and application containers.   Experience with various configuration management tools - Ansible, Chef, Puppet.   Experience installing security patches and hardening the overall infrastructure.   Experience with automating the infrastructure setup and maintenance tasks.   Good understanding of systems and networking.   Desired educational qualification Candidate need to posses a Bachelors degree in field of computer science and/or information systems.  ","RequirementsOur engineering team is looking for a DevOps Engineer, who has 3-6 years of work experience in similar field and possess good communication skill. Experience in- Bigdata, HDFS, Spark, DevOps, Hadoop, Chef, Puppet, Docker, Jenkin, Maven"
407,NUTONOMY ASIA PTE. LTD.,Autonomous Driving Research / Engineering Intern,77 AYER RAJAH CRESCENT 139954,Internship,Fresh/entry level,Engineering,,"Roles & ResponsibilitiesnuTonomy aims to be the first company in the world to launch an autonomous taxi system, and we are building up an awesome team to make this goal a reality. We are developing the first-of-its-kind complete solution for providing point-to-point mobility via large fleets of autonomous vehicles. This includes software for autonomous vehicles, smartphone-based ride hailing, fleet management, and teleoperation. The company's software has been tested extensively on public roads in the U.S. and Singapore. We offer a unique opportunity to work closely with experts from a wide array of backgrounds, to create ground-breaking technology with potential for huge impact. As a member of a fast-growing start-up, you will be able to make a large contribution to the final product. For more information about nuTonomy, visit: www.nutonomy.com  We are seeking highly motivated Autonomous Driving Research/Engineering Interns to help in achieving our goals.  Intern positions are available in multiple teams including:  Planning Perception Machine Learning/Deep Learning Mapping/Localization Functional safety Software engineering    ","RequirementsIf you are a high achieving engineering or computer science student (MS or PhD track) that is looking to change the world, this is the place for you."
